customer_name,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,age,female,total_kids,total_lifetime_spend,has_loyalty_card
Phd. Melissa Earing,1.0,0.0,1.0,1.0,8793.0,3285.0,9.0,2219.0,477.0,281.0,42.0,,613.0,162.0,47.0,73.0,0.074966511144387,2008.0,38.754215503038,-9.17366872422114,45.0,1,1.0,15919.0,1
Cruz Pope,0.0,0.0,1.0,2.0,6520.0,3754.0,23.0,292.0,473.0,913.0,653.0,882.0,589.0,1151.0,546.0,54.0,0.3058264810330052,2016.0,38.73353626643542,-9.167613813757033,53.0,1,0.0,15773.0,1
Bsc. Stan Vian,0.0,0.0,0.0,5.0,8225.0,2873.0,23.0,815.0,503.0,199.0,924.0,,678.0,33.0,678.0,89.0,0.0219439132124308,2021.0,38.69790927684401,-9.16725691086542,86.0,0,0.0,14928.0,1
Bsc. Ruth Snoddy,0.0,1.0,1.0,1.0,13396.0,1321.0,9.0,439.0,326.0,5.0,696.0,523.0,670.0,1359.0,765.0,60.0,0.0849881318023555,2010.0,38.75980720441785,-9.155894766799689,68.0,1,1.0,19500.0,1
Bsc. Thomas King,,1.0,0.0,2.0,37795.0,2130.0,8.0,636.0,102.0,310.0,890.0,844.0,842.0,42.0,524.0,212.0,,2011.0,38.76203648175096,-9.158846685096057,46.0,0,,44115.0,1
Bsc. Shantae Worley,4.0,0.0,0.0,3.0,32925.0,5770.0,14.0,1083.0,759.0,1737.0,1300.0,956.0,1451.0,372.0,327.0,305.0,0.1165796006586249,2006.0,38.76021401470984,-9.194390645605838,53.0,1,4.0,46680.0,1
Phd. Alonzo Crossan,1.0,1.0,0.0,5.0,25539.0,1089.0,7.0,907.0,1681.0,896.0,1153.0,962.0,1205.0,344.0,329.0,330.0,,2028.0,38.72970010948747,-9.196584989123338,25.0,0,2.0,34105.0,1
Bsc. Vanessa Wells,1.0,0.0,1.0,6.0,8371.0,205.0,13.0,218.0,379.0,316.0,493.0,1512.0,249.0,94.0,328.0,151.0,0.0615688647714884,2014.0,38.71247116480576,-9.129835005121535,48.0,1,1.0,12165.0,1
Phd. Dawn Cannon,1.0,1.0,1.0,4.0,37097.0,2598.0,14.0,283.0,246.0,706.0,1243.0,680.0,2369.0,263.0,359.0,302.0,0.4942214328019912,2007.0,38.77949960090595,-9.152015004454716,38.0,1,2.0,45844.0,1
Bsc. Madge Bell,1.0,2.0,0.0,7.0,26555.0,7141.0,10.0,1327.0,379.0,1838.0,1773.0,1429.0,1428.0,,380.0,266.0,0.2274411335550715,2009.0,38.745229204961255,-9.116639572490518,66.0,1,3.0,42250.0,1
Bsc. Marion Davis,1.0,1.0,1.0,6.0,1806.0,1248.0,17.0,1963.0,398.0,325.0,55.0,47.0,595.0,126.0,199.0,91.0,0.1269068530725506,2013.0,38.759760815806594,-9.122087512242429,79.0,1,2.0,6762.0,1
Bsc. Bonny Correa,2.0,0.0,2.0,1.0,8496.0,1068.0,11.0,284.0,17.0,668.0,446.0,633.0,381.0,171.0,268.0,42.0,0.4197566063956281,2014.0,38.74815657274145,-9.156340480297294,36.0,1,2.0,12432.0,1
Msc. Sylvia Jones,2.0,1.0,0.0,3.0,10440.0,3659.0,8.0,1966.0,956.0,304.0,368.0,266.0,1635.0,95.0,271.0,84.0,0.2426026354063847,2016.0,38.74198055776764,-9.090553284872955,85.0,1,3.0,19960.0,1
Phd. Jane Dixon,1.0,1.0,1.0,4.0,16221.0,1325.0,12.0,2009.0,439.0,177.0,,87.0,2111.0,80.0,436.0,32.0,0.0899605382861564,2019.0,38.75784856755827,-9.06704702651029,71.0,1,2.0,22885.0,1
Msc. Lillian Moore,0.0,1.0,1.0,4.0,3836.0,40.0,21.0,232.0,301.0,477.0,1262.0,696.0,467.0,434.0,428.0,188.0,0.5893278251634426,2019.0,38.73230749038213,-9.21469076819808,50.0,1,1.0,8173.0,1
Phd. Kayla Blankenship,2.0,0.0,2.0,2.0,9339.0,300.0,6.0,88.0,244.0,1033.0,507.0,467.0,316.0,137.0,370.0,87.0,0.8021778732399719,2016.0,38.7480290416654,-9.15656587813829,32.0,1,2.0,12801.0,1
Phd. Archie Mickel,4.0,4.0,1.0,3.0,29112.0,5704.0,8.0,1508.0,963.0,1549.0,1341.0,,887.0,606.0,64.0,329.0,0.1829629326719151,2025.0,38.7496666360259,-9.14014091211847,28.0,0,8.0,41734.0,1
Phd. Doloris Atwell,0.0,1.0,1.0,5.0,33106.0,2893.0,14.0,514.0,790.0,452.0,794.0,1271.0,825.0,307.0,410.0,128.0,0.0941141673878209,2018.0,38.80364972655259,-9.057216682624029,66.0,1,1.0,41362.0,1
Felipe Belliveau,1.0,0.0,1.0,1.0,10551.0,19339.0,20.0,39.0,487.0,1363.0,697.0,433.0,540.0,1835.0,5.0,37.0,0.2335421656467491,2016.0,38.76338275574757,-9.175977632749976,48.0,0,1.0,35289.0,1
Msc. Salvatore Blackmon,0.0,0.0,1.0,4.0,10375.0,454.0,11.0,95.0,94.0,170.0,486.0,734.0,39.0,,43.0,98.0,1.0,2014.0,38.716659620636335,-9.126962821404986,54.0,0,0.0,12490.0,1
Jody Marrs,0.0,0.0,2.0,2.0,14037.0,9387.0,22.0,90.0,601.0,1342.0,718.0,967.0,247.0,,328.0,109.0,0.3376005577176389,2014.0,38.744460255877705,-9.1663286590939,51.0,1,0.0,27717.0,1
Phd. George Moland,2.0,3.0,1.0,1.0,31548.0,4885.0,11.0,979.0,1084.0,307.0,1808.0,901.0,642.0,,456.0,166.0,0.0503315349347742,2012.0,38.76299838765157,-9.170646844713852,46.0,0,5.0,42610.0,1
Bsc. Renee Green,2.0,0.0,2.0,1.0,7706.0,1395.0,11.0,312.0,114.0,649.0,561.0,631.0,13.0,116.0,53.0,109.0,0.2457068193430098,2017.0,38.7474890696561,-9.155944958147968,35.0,1,2.0,11550.0,1
Msc. Suzanne Jackson,2.0,3.0,2.0,1.0,8856.0,862.0,6.0,144.0,46.0,662.0,589.0,343.0,500.0,168.0,81.0,39.0,1.0,2017.0,38.74771972687876,-9.155806753882551,28.0,1,5.0,12251.0,1
Phd. Norman Kellar,0.0,1.0,2.0,3.0,11036.0,446.0,23.0,450.0,95.0,148.0,461.0,361.0,688.0,284.0,475.0,18.0,0.4584183117437898,2014.0,38.74384410672418,-9.152002161264976,31.0,0,1.0,14444.0,1
Phd. Stella Vanlandingham,1.0,5.0,1.0,1.0,21035.0,4355.0,13.0,710.0,273.0,625.0,1557.0,830.0,594.0,450.0,624.0,45.0,0.1970857982962765,2008.0,38.77163386244289,-9.120604122622966,80.0,1,6.0,31053.0,1
Phd. Mildred Jones,1.0,1.0,1.0,3.0,5241.0,2848.0,13.0,2514.0,580.0,250.0,46.0,281.0,1037.0,290.0,252.0,59.0,0.1318202582444303,2014.0,38.77968386918864,-9.19466434077501,32.0,1,2.0,13339.0,1
Msc. Renee Crowe,2.0,2.0,,1.0,9973.0,3875.0,9.0,1206.0,857.0,1261.0,1486.0,1205.0,620.0,313.0,193.0,361.0,0.1108472703578988,2005.0,38.77651127402721,-9.190814820328804,70.0,1,4.0,20989.0,1
Phd. Tony Cummings,1.0,0.0,0.0,4.0,8375.0,3406.0,11.0,1572.0,305.0,438.0,83.0,67.0,748.0,151.0,32.0,41.0,0.1321238480605895,2011.0,38.77927405559048,-9.166152028406405,52.0,0,1.0,15177.0,1
Bsc. Homer Rodriguez,1.0,0.0,1.0,2.0,13355.0,673.0,9.0,547.0,79.0,194.0,748.0,,106.0,179.0,16.0,62.0,0.5990170831946777,2017.0,38.72848388735738,-9.181805417133749,57.0,0,1.0,15897.0,1
Bsc. Dina Kellum,1.0,1.0,1.0,7.0,12155.0,2559.0,10.0,2093.0,621.0,410.0,45.0,79.0,607.0,156.0,171.0,127.0,0.0586036965773658,2010.0,38.71790765402376,-9.18996276218488,66.0,1,2.0,18896.0,1
Msc. Raymond Stpeter,2.0,1.0,1.0,5.0,16752.0,466.0,13.0,1738.0,849.0,17.0,37.0,65.0,2618.0,228.0,397.0,120.0,0.1964968506860476,2015.0,38.75416736257537,-9.146026082165973,46.0,0,3.0,23167.0,1
Erik Murray,0.0,0.0,1.0,2.0,7863.0,2525.0,21.0,26.0,622.0,1016.0,648.0,497.0,402.0,2956.0,311.0,193.0,0.276803492086756,2013.0,38.7634352074024,-9.150999564138113,80.0,0,0.0,16866.0,1
Bsc. Sylvia Giles,1.0,2.0,3.0,4.0,9961.0,1725.0,16.0,1770.0,692.0,448.0,43.0,127.0,683.0,130.0,255.0,189.0,0.0597959273288908,2011.0,38.73829055773158,-9.159192307369766,50.0,1,3.0,15834.0,1
Phd. Danial Schmitz,2.0,0.0,1.0,4.0,5836.0,211.0,10.0,1318.0,356.0,322.0,106.0,86.0,2127.0,299.0,627.0,34.0,0.2278466768695096,2016.0,38.78844147513438,-9.104188173971986,65.0,0,2.0,11288.0,1
Doris Cedillo,1.0,0.0,0.0,2.0,4804.0,10741.0,18.0,161.0,349.0,1238.0,622.0,1441.0,151.0,1612.0,365.0,18.0,0.3454144786395181,2021.0,38.73800927193912,-9.153900715709058,70.0,1,1.0,21484.0,1
Msc. Jeannette Ganser,1.0,0.0,1.0,4.0,13382.0,1799.0,10.0,1910.0,547.0,162.0,106.0,25.0,1907.0,61.0,359.0,81.0,0.13208322630811,2016.0,38.73444316402863,-9.18110165931389,55.0,1,1.0,20258.0,1
Carol Hendrix,0.0,0.0,0.0,2.0,9583.0,11967.0,8.0,135.0,342.0,1438.0,995.0,124.0,43.0,1178.0,292.0,165.0,0.2191056596387716,2017.0,38.76662652137475,-9.149499807448898,51.0,1,0.0,26097.0,1
Msc. Thomas Davis,0.0,1.0,0.0,2.0,16686.0,1281.0,8.0,983.0,157.0,183.0,963.0,777.0,883.0,295.0,289.0,83.0,0.1313530667384041,2020.0,38.759613981210855,-9.163422794015997,74.0,0,1.0,22497.0,1
Msc. Amanda Foppiano,1.0,0.0,1.0,1.0,27734.0,2269.0,11.0,2052.0,538.0,505.0,81.0,103.0,283.0,181.0,788.0,130.0,0.0303707864934123,2026.0,38.75751840162344,-9.167218279468052,28.0,1,1.0,34534.0,1
Msc. Kelly Studivant,2.0,2.0,0.0,1.0,14670.0,5754.0,14.0,232.0,1057.0,1110.0,1109.0,1824.0,1349.0,321.0,379.0,308.0,0.4541855193746511,2014.0,38.75816049569222,-9.132848257178836,62.0,1,4.0,27805.0,1
Bsc. Betty Payne,0.0,1.0,0.0,5.0,26331.0,740.0,11.0,337.0,507.0,842.0,990.0,1119.0,890.0,,537.0,195.0,0.7758343929075089,2006.0,38.72660554417923,-9.186097839238466,49.0,1,1.0,32293.0,1
Bsc. Cody Gerber,,1.0,2.0,5.0,21442.0,1043.0,17.0,1118.0,99.0,1265.0,477.0,228.0,289.0,39.0,243.0,220.0,0.2630513932327908,2019.0,38.79038661172089,-9.04255054871454,27.0,0,,26243.0,1
Phd. Denise Allard,2.0,0.0,2.0,1.0,6273.0,430.0,6.0,208.0,291.0,525.0,539.0,804.0,707.0,121.0,320.0,91.0,,2020.0,38.74809191328798,-9.155614661575228,34.0,1,2.0,10218.0,1
Msc. Heather Howie,0.0,0.0,0.0,2.0,8073.0,1372.0,8.0,123.0,304.0,1326.0,367.0,259.0,237.0,441.0,171.0,49.0,0.609052506679316,2029.0,38.75642674039771,-9.16259443042522,24.0,1,0.0,12673.0,1
Rose Huffman,0.0,0.0,1.0,3.0,10842.0,12889.0,16.0,91.0,810.0,1741.0,678.0,963.0,155.0,1536.0,355.0,40.0,0.3770638581540876,2021.0,38.76582580039765,-9.164486303789882,86.0,1,0.0,30060.0,1
Msc. David Alexander,1.0,1.0,1.0,3.0,47676.0,6045.0,14.0,218.0,1029.0,556.0,907.0,168.0,257.0,267.0,384.0,358.0,0.7467978428414461,2009.0,38.71045673659789,-9.142284639235136,45.0,0,2.0,57507.0,1
Bsc. Margaret Cunningham,2.0,4.0,3.0,2.0,1441.0,3934.0,9.0,405.0,513.0,278.0,1517.0,916.0,579.0,24.0,477.0,140.0,0.2823858766171893,2013.0,38.71461868176959,-9.174287445881845,72.0,1,6.0,10084.0,1
Msc. Kirk Trapp,1.0,1.0,0.0,4.0,23174.0,2382.0,10.0,155.0,529.0,795.0,1120.0,684.0,644.0,319.0,,281.0,0.3861281392503943,2019.0,38.77255942117437,-9.195413475643676,59.0,0,2.0,29802.0,1
Phd. Milagro Amelung,1.0,1.0,1.0,3.0,28825.0,2948.0,15.0,459.0,687.0,716.0,884.0,1495.0,1314.0,161.0,916.0,337.0,,2008.0,38.77679065799544,-9.146791974256198,48.0,1,2.0,38405.0,1
Phd. Miguel Levay,1.0,1.0,1.0,4.0,13002.0,556.0,23.0,2228.0,162.0,395.0,67.0,51.0,1089.0,1563.0,93.0,87.0,0.1262473214341531,2016.0,38.77783886759041,-9.121572464167178,32.0,0,2.0,19206.0,1
Linda Ellerbe,0.0,0.0,2.0,1.0,6058.0,8542.0,23.0,501.0,809.0,704.0,979.0,635.0,211.0,1600.0,71.0,104.0,0.3404408310625003,2018.0,38.72208184325029,-9.154822555731917,78.0,1,0.0,20110.0,1
Phd. William Mclaren,1.0,0.0,1.0,3.0,7932.0,69.0,13.0,551.0,226.0,156.0,583.0,256.0,644.0,5.0,319.0,67.0,0.9070557755568464,2018.0,38.76704472113971,-9.166026364327674,39.0,0,1.0,10741.0,1
Phd. Lura Speis,1.0,0.0,1.0,6.0,13071.0,157.0,8.0,505.0,717.0,575.0,192.0,1071.0,586.0,364.0,216.0,234.0,0.5268036064428512,2018.0,38.79223254831397,-9.210578250727703,42.0,1,1.0,17454.0,1
Bsc. Anthony Arrington,1.0,1.0,1.0,1.0,5655.0,1051.0,,1962.0,494.0,543.0,,105.0,1151.0,238.0,30.0,36.0,0.1012932645549802,2015.0,38.74651477955942,-9.120798538232616,37.0,0,2.0,11229.0,1
Stephen Dukes,0.0,1.0,0.0,1.0,12254.0,1469.0,19.0,301.0,618.0,954.0,1000.0,1446.0,578.0,1563.0,398.0,137.0,0.1016737098625224,2020.0,38.73930534987978,-9.197227829892029,62.0,0,1.0,20581.0,1
Msc. Diana Hawes,1.0,0.0,2.0,4.0,14381.0,1017.0,20.0,201.0,172.0,134.0,989.0,1059.0,269.0,148.0,67.0,68.0,0.8094045771803405,2021.0,38.73197756405301,-9.141592106035638,37.0,1,1.0,18437.0,1
Phd. Patrick Aichele,2.0,1.0,0.0,4.0,9509.0,979.0,19.0,748.0,177.0,121.0,934.0,370.0,264.0,112.0,81.0,66.0,0.4868643818010812,2012.0,38.75837963116939,-9.150308594394824,35.0,0,3.0,13295.0,1
Juanita Roccio,0.0,0.0,2.0,1.0,4963.0,8117.0,20.0,287.0,170.0,795.0,762.0,827.0,92.0,1258.0,414.0,84.0,0.4875727932321885,2016.0,38.76089025907025,-9.167570696819215,53.0,1,0.0,17685.0,1
Phd. Eunice Sancho,1.0,0.0,1.0,3.0,18813.0,1983.0,11.0,1620.0,636.0,63.0,220.0,141.0,2015.0,28.0,356.0,143.0,0.0958128950752033,2020.0,38.77297621630804,-9.075599005488304,65.0,1,1.0,25875.0,1
Bsc. Jennifer Moore,3.0,5.0,1.0,2.0,43203.0,5030.0,13.0,1513.0,927.0,2083.0,1615.0,1769.0,1102.0,463.0,260.0,283.0,0.0813834962793859,2014.0,38.76852676536102,-9.176406260447294,68.0,1,8.0,57965.0,1
Roman Jones,0.0,0.0,2.0,1.0,8737.0,11946.0,21.0,206.0,645.0,1515.0,918.0,114.0,360.0,1477.0,522.0,79.0,0.3015708906740711,2016.0,38.7218065338727,-9.189276057401225,71.0,0,0.0,26440.0,1
Phd. Wayne Blum,1.0,2.0,1.0,4.0,19723.0,4206.0,11.0,167.0,720.0,578.0,997.0,979.0,867.0,413.0,376.0,379.0,0.6661432047076098,2007.0,38.71685569879276,-9.134990864874297,65.0,0,3.0,29026.0,1
Bsc. Brittany Vaughan,0.0,0.0,1.0,5.0,16207.0,638.0,18.0,465.0,204.0,113.0,943.0,,751.0,96.0,571.0,55.0,1.0,2015.0,38.76907869074987,-9.191046258934824,83.0,1,0.0,19988.0,1
Phd. Lori Zavala,3.0,1.0,0.0,3.0,14481.0,1031.0,,1551.0,782.0,197.0,177.0,39.0,1784.0,170.0,322.0,124.0,0.3001345836946428,2011.0,38.73687020809721,-9.180975267447808,36.0,1,4.0,20534.0,1
Msc. Mona Atkins,1.0,0.0,1.0,5.0,14372.0,2271.0,11.0,602.0,480.0,771.0,144.0,693.0,513.0,400.0,321.0,197.0,0.4329720461412199,2021.0,38.80361946829855,-9.202830282726984,64.0,1,1.0,20567.0,1
Bsc. Tanesha Hotton,1.0,1.0,1.0,3.0,25464.0,1280.0,16.0,1709.0,514.0,492.0,62.0,115.0,792.0,111.0,454.0,75.0,0.0534948295874103,2011.0,38.78620221349695,-9.13589530641425,64.0,1,2.0,30993.0,1
Bsc. Betty Hill,2.0,0.0,2.0,1.0,9568.0,68.0,10.0,297.0,356.0,690.0,529.0,872.0,322.0,90.0,107.0,78.0,1.0,2019.0,38.74763999136231,-9.15751600451793,32.0,1,2.0,12899.0,1
Phd. Lynn Severson,1.0,1.0,0.0,5.0,11533.0,111.0,,1108.0,525.0,1115.0,233.0,318.0,544.0,104.0,345.0,242.0,0.387294290679021,2014.0,38.790250424700105,-9.12560742425143,68.0,1,2.0,15936.0,1
Bsc. Richard Scott,1.0,1.0,1.0,4.0,4438.0,1148.0,7.0,332.0,222.0,807.0,761.0,1211.0,1191.0,1622.0,312.0,208.0,0.1839790083925955,2016.0,38.74691210031135,-9.169516003884596,79.0,0,2.0,12044.0,1
Toni Sultan,1.0,1.0,2.0,1.0,17941.0,16101.0,23.0,268.0,596.0,1422.0,700.0,839.0,197.0,1409.0,294.0,161.0,0.4144789848889739,2027.0,38.72256488588256,-9.149736347220726,27.0,1,2.0,39767.0,1
Heather Norton,0.0,0.0,5.0,1.0,13273.0,14679.0,19.0,172.0,361.0,459.0,844.0,782.0,62.0,1134.0,473.0,142.0,0.308862880379154,2016.0,38.71969543065247,-9.200678460768987,78.0,1,0.0,32239.0,1
Bsc. Heather Bagg,1.0,1.0,1.0,5.0,50155.0,4218.0,14.0,133.0,715.0,743.0,1838.0,1304.0,2096.0,1095.0,386.0,306.0,0.6720084118498342,2013.0,38.73995576839345,-9.170008667705876,45.0,1,2.0,62683.0,1
Bsc. Yvonne Adams,1.0,0.0,1.0,5.0,20495.0,2880.0,21.0,2378.0,343.0,464.0,,127.0,727.0,177.0,342.0,46.0,,2015.0,38.78383569577728,-9.146924371848243,51.0,1,1.0,27933.0,1
Phd. Sabrina Knight,2.0,1.0,0.0,5.0,15447.0,2470.0,9.0,1509.0,760.0,123.0,155.0,195.0,1679.0,37.0,454.0,77.0,0.0968668732267962,2014.0,38.75142059233535,-9.182301264134685,61.0,1,3.0,22829.0,1
Msc. Merlyn Lopez,1.0,1.0,1.0,5.0,5808.0,4276.0,14.0,253.0,1333.0,,810.0,688.0,527.0,53.0,365.0,234.0,0.3772197795413153,2015.0,38.75853117180204,-9.140798899878051,67.0,1,2.0,14113.0,1
Msc. Carol Timmons,0.0,3.0,2.0,2.0,27671.0,4881.0,10.0,841.0,769.0,1084.0,2034.0,1495.0,1675.0,589.0,725.0,334.0,0.2948555068239735,2010.0,38.76700374527207,-9.176452516428409,86.0,1,3.0,41764.0,1
Bsc. Ashley Jensen,2.0,5.0,2.0,3.0,21123.0,6172.0,10.0,645.0,441.0,1675.0,1048.0,551.0,1043.0,285.0,362.0,193.0,0.1445167673416348,2013.0,38.75650709718552,-9.187110626681164,74.0,1,7.0,33345.0,1
Msc. Reyna Seanez,1.0,1.0,0.0,3.0,8783.0,389.0,8.0,1441.0,636.0,28.0,394.0,113.0,1850.0,301.0,434.0,93.0,0.0620544519024242,2013.0,38.76857705330424,-9.157619897688855,64.0,1,2.0,14369.0,1
Phd. Elizabeth Gurley,1.0,1.0,1.0,6.0,11748.0,3007.0,,2113.0,271.0,487.0,36.0,,194.0,174.0,78.0,141.0,0.0487000090505459,2009.0,38.75812588133764,-9.161002307757355,56.0,1,2.0,18108.0,1
Bsc. Trent Guajardo,1.0,1.0,3.0,2.0,39926.0,603.0,7.0,681.0,356.0,560.0,1160.0,733.0,326.0,140.0,431.0,91.0,0.3754775304388258,2008.0,38.75808353029282,-9.159817112494544,65.0,0,2.0,44916.0,1
Msc. Lacey Turner,2.0,2.0,3.0,3.0,33638.0,5350.0,11.0,456.0,429.0,1979.0,797.0,1155.0,919.0,347.0,449.0,265.0,0.1186399888586964,2009.0,38.71798937932024,-9.15306224939332,51.0,1,4.0,45519.0,1
Alice Goble,1.0,0.0,2.0,1.0,12370.0,10867.0,17.0,70.0,934.0,926.0,797.0,542.0,,1518.0,608.0,190.0,0.1384508490854341,2013.0,38.747329588185416,-9.165775647785209,48.0,1,1.0,28632.0,1
Bsc. Linda Mendez,1.0,1.0,1.0,6.0,12778.0,1292.0,15.0,1107.0,450.0,55.0,117.0,212.0,2304.0,96.0,331.0,93.0,0.1082669773806148,2014.0,38.76854684759731,-9.123235140581484,60.0,1,2.0,18742.0,1
Bsc. Jessie Fish,1.0,1.0,1.0,1.0,6348.0,1306.0,8.0,753.0,298.0,302.0,,453.0,1001.0,170.0,466.0,152.0,0.0563920819977854,2004.0,38.73355310239125,-9.175145486599224,60.0,0,2.0,11097.0,1
