customer_name,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,latitude,longitude,age,female,total_kids,total_lifetime_spend,average_value_per_product,has_loyalty_card,lifetime_spend_groceries_prop,lifetime_spend_electronics_prop,lifetime_spend_vegetables_prop,lifetime_spend_nonalcohol_drinks_prop,lifetime_spend_alcohol_drinks_prop,lifetime_spend_meat_prop,lifetime_spend_fish_prop,lifetime_spend_hygiene_prop,lifetime_spend_videogames_prop,lifetime_spend_petfood_prop,Cluster,cluster
Msc. Arlene Hernandez,1.0,5.0,35044.0,78.0,20.0,395.0,567.0,621.0,1000.0,910.0,1560.0,285.0,255.0,253.0,0.4308490612060748,2017.0,38.75274681712484,-9.135250341406646,80.0,1,1.0,40715.0,160.92885375494072,1,0.8607147243030824,0.0019157558639322,0.0097015841827336,0.0139260714724303,0.0152523639936141,0.0245609726145155,0.0223504850792091,0.0383151172786442,0.0069998771951369,0.0062630480167014,0,0
Bsc. James Kolodziej,1.0,3.0,15333.0,883.0,14.0,1325.0,551.0,257.0,117.0,150.0,2057.0,100.0,473.0,205.0,0.0320563109521218,2019.0,38.75658242562309,-9.15436602277348,82.0,0,2.0,21246.0,103.6390243902439,1,0.7216887884778311,0.0415607643791772,0.0623646804104301,0.0259342935140732,0.012096394615457,0.0055069189494493,0.0070601524992939,0.0968182246069848,0.0047067683328626,0.0222630142144403,4,4
Phd. Linda Bryant,0.0,2.0,20270.0,1816.0,17.0,2118.0,507.0,408.0,40.0,53.0,890.0,238.0,342.0,139.0,0.0660401921930587,2012.0,38.74710885689428,-9.186784838800778,59.0,1,2.0,26682.0,191.9568345323741,1,0.7596881792969042,0.0680608650026235,0.0793793568697998,0.0190015740948954,0.0152912075556554,0.0014991379956525,0.0019863578442395,0.0333558204032681,0.0089198710741323,0.0128176298628288,3,3
Phd. Tom Fisher,,2.0,8829.0,345.0,8.0,,121.0,1657.0,1028.0,758.0,91.0,475.0,44.0,61.0,0.6532370294994334,2029.0,38.70758994916797,-9.161818002552854,25.0,0,0.0,13348.0,218.81967213114757,1,0.6614474078513635,0.0258465687743482,0.0,0.0090650284686844,0.1241384477075217,0.0770152831884926,0.0567875337129157,0.0068175007491759,0.0355858555588852,0.0032963739886125,0,0
Bsc. Jeffery Brown,1.0,4.0,71986.0,3650.0,11.0,126.0,721.0,739.0,532.0,920.0,1101.0,268.0,499.0,126.0,0.2331716143295922,2019.0,38.727745834323656,-9.185483625264848,34.0,0,3.0,80542.0,639.2222222222222,1,0.8937697102133049,0.045317970748181,0.001564401181992,0.0089518512080653,0.009175337091207,0.0066052494350773,0.0114226118050209,0.0136698865188348,0.0033274564823321,0.0061955253159842,0,0
Phd. Edna Christy,0.0,2.0,12067.0,274.0,22.0,,125.0,177.0,811.0,157.0,243.0,52.0,210.0,16.0,0.5625619630219125,2016.0,38.777746595386375,-9.167540842777818,37.0,1,1.0,14116.0,882.25,1,0.8548455653159536,0.0194105979030886,0.0,0.0088551997733068,0.0125389628790025,0.057452536129215,0.0111221309152734,0.0172145083593085,0.0036837631056956,0.0148767356191555,0,0
Msc. Arthur Doyle,2.0,1.0,9842.0,2173.0,12.0,311.0,193.0,691.0,422.0,566.0,485.0,782.0,301.0,35.0,0.6308553294317327,2020.0,38.74813760378645,-9.156526394540954,34.0,0,3.0,15766.0,450.45714285714286,1,0.6242547253583661,0.1378282379804642,0.019725992642395,0.0122415324115184,0.0438284916909805,0.026766459469745,0.0359000380565774,0.0307624001014842,0.049600405936826,0.0190917163516427,1,1
Phd. Debra Mcleod,0.0,5.0,10232.0,2309.0,14.0,338.0,280.0,595.0,438.0,821.0,1067.0,225.0,454.0,127.0,0.5897405207838152,2011.0,38.72716384639924,-9.2052703305056,66.0,1,1.0,16759.0,131.96062992125985,1,0.6105376215764664,0.1377767169878871,0.0201682677964079,0.0167074407780893,0.0355033116534399,0.0261352109314398,0.048988603138612,0.0636672832507906,0.0134256220538218,0.0270899218330449,0,0
Phd. Melissa Earing,1.0,1.0,8793.0,3285.0,9.0,2219.0,477.0,281.0,42.0,,613.0,162.0,47.0,73.0,0.074966511144387,2008.0,38.754215503038,-9.17366872422114,45.0,1,1.0,15919.0,218.06849315068493,1,0.5523588165085747,0.2063571832401532,0.1393931779634399,0.0299641937307619,0.0176518625541805,0.002638356680696,0.0,0.0385074439349205,0.0101765186255418,0.0029524467617312,3,3
Cruz Pope,1.0,2.0,6520.0,3754.0,23.0,292.0,473.0,913.0,653.0,882.0,589.0,1151.0,546.0,54.0,0.3058264810330052,2016.0,38.73353626643542,-9.167613813757033,53.0,1,0.0,15773.0,292.0925925925926,1,0.4133646104101946,0.2380016483864832,0.0185126481962847,0.0299879540987763,0.0578837253534521,0.0413998605211437,0.0559183414695999,0.0373422937931908,0.0729728016230266,0.0346161161478475,1,1
Bsc. Stan Vian,0.0,5.0,8225.0,2873.0,23.0,815.0,503.0,199.0,924.0,,678.0,33.0,678.0,89.0,0.0219439132124308,2021.0,38.69790927684401,-9.16725691086542,86.0,0,0.0,14928.0,167.73033707865167,1,0.5509780278670954,0.1924571275455519,0.0545953912111468,0.0336950696677384,0.0133306538049303,0.0618971061093247,0.0,0.0454180064308681,0.0022106109324758,0.0454180064308681,2,2
Bsc. Ruth Snoddy,1.0,1.0,13396.0,1321.0,9.0,439.0,326.0,5.0,696.0,523.0,670.0,1359.0,765.0,60.0,0.0849881318023555,2010.0,38.75980720441785,-9.155894766799689,68.0,1,1.0,19500.0,325.0,1,0.686974358974359,0.0677435897435897,0.0225128205128205,0.0167179487179487,0.0002564102564102,0.0356923076923076,0.0268205128205128,0.0343589743589743,0.0696923076923076,0.0392307692307692,1,1
Bsc. Thomas King,0.0,2.0,37795.0,2130.0,8.0,636.0,102.0,310.0,890.0,844.0,842.0,42.0,524.0,212.0,,2011.0,38.76203648175096,-9.158846685096057,46.0,0,,44115.0,208.08962264150944,1,0.8567380709509237,0.0482828969738184,0.0144168650119007,0.0023121387283236,0.0070270882919641,0.0201745438059616,0.0191318145755412,0.0190864785220446,0.0009520571234274,0.0118780460160943,0,0
Bsc. Shantae Worley,0.0,3.0,32925.0,5770.0,14.0,1083.0,759.0,1737.0,1300.0,956.0,1451.0,372.0,327.0,305.0,0.1165796006586249,2006.0,38.76021401470984,-9.194390645605838,53.0,1,4.0,46680.0,153.04918032786884,1,0.7053341902313625,0.1236075407026563,0.0232005141388174,0.0162596401028277,0.037210796915167,0.0278491859468723,0.0204798628963153,0.0310839760068551,0.0079691516709511,0.0070051413881748,0,0
Phd. Alonzo Crossan,0.0,5.0,25539.0,1089.0,7.0,907.0,1681.0,896.0,1153.0,962.0,1205.0,344.0,329.0,330.0,,2028.0,38.72970010948747,-9.196584989123338,25.0,0,2.0,34105.0,103.34848484848484,1,0.7488344817475443,0.0319308019352001,0.0265943410057176,0.0492889605629673,0.0262718076528368,0.0338073596246884,0.0282070077701216,0.0353320627473977,0.0100864975809998,0.009646679372526,0,0
Bsc. Vanessa Wells,1.0,6.0,8371.0,205.0,13.0,218.0,379.0,316.0,493.0,1512.0,249.0,94.0,328.0,151.0,0.0615688647714884,2014.0,38.71247116480576,-9.129835005121535,48.0,1,1.0,12165.0,80.56291390728477,1,0.6881216605014385,0.0168516235100698,0.0179202630497328,0.0311549527332511,0.0259761611179613,0.0405260994656802,0.1242909987669543,0.0204685573366214,0.0077270859021783,0.0269625976161117,0,0
Phd. Dawn Cannon,1.0,4.0,37097.0,2598.0,14.0,283.0,246.0,706.0,1243.0,680.0,2369.0,263.0,359.0,302.0,0.4942214328019912,2007.0,38.77949960090595,-9.152015004454716,38.0,1,2.0,45844.0,151.80132450331126,1,0.809200767821307,0.056670447604921,0.0061731088037693,0.0053660239071634,0.0154000523514527,0.0271136899048948,0.0148329116132972,0.05167524648809,0.0057368466974958,0.0078309048076084,0,0
Bsc. Madge Bell,0.0,7.0,26555.0,7141.0,10.0,1327.0,379.0,1838.0,1773.0,1429.0,1428.0,,380.0,266.0,0.2274411335550715,2009.0,38.745229204961255,-9.116639572490518,66.0,1,3.0,42250.0,158.8345864661654,1,0.6285207100591717,0.1690177514792899,0.0314082840236686,0.0089704142011834,0.0435029585798816,0.0419644970414201,0.0338224852071005,0.0337988165680473,0.0,0.0089940828402366,0,0
Bsc. Marion Davis,1.0,6.0,1806.0,1248.0,17.0,1963.0,398.0,325.0,55.0,47.0,595.0,126.0,199.0,91.0,0.1269068530725506,2013.0,38.759760815806594,-9.122087512242429,79.0,1,2.0,6762.0,74.3076923076923,1,0.2670807453416149,0.1845607808340727,0.2902987281869269,0.0588583259390712,0.0480627033422064,0.0081336882579118,0.0069506063294883,0.087991718426501,0.0186335403726708,0.0294291629695356,4,4
Bsc. Bonny Correa,2.0,1.0,8496.0,1068.0,11.0,284.0,17.0,668.0,446.0,633.0,381.0,171.0,268.0,42.0,0.4197566063956281,2014.0,38.74815657274145,-9.156340480297294,36.0,1,2.0,12432.0,296.0,1,0.6833976833976834,0.0859073359073359,0.0228442728442728,0.0013674388674388,0.0537323037323037,0.0358751608751608,0.0509169884169884,0.0306467181467181,0.0137548262548262,0.0215572715572715,2,2
Msc. Sylvia Jones,0.0,3.0,10440.0,3659.0,8.0,1966.0,956.0,304.0,368.0,266.0,1635.0,95.0,271.0,84.0,0.2426026354063847,2016.0,38.74198055776764,-9.090553284872955,85.0,1,3.0,19960.0,237.6190476190476,1,0.5230460921843687,0.183316633266533,0.0984969939879759,0.0478957915831663,0.0152304609218436,0.0184368737474949,0.0133266533066132,0.0819138276553106,0.0047595190380761,0.0135771543086172,4,4
Phd. Jane Dixon,1.0,4.0,16221.0,1325.0,12.0,2009.0,439.0,177.0,,87.0,2111.0,80.0,436.0,32.0,0.0899605382861564,2019.0,38.75784856755827,-9.06704702651029,71.0,1,2.0,22885.0,715.15625,1,0.7088048940353944,0.0578981865850994,0.0877867598863884,0.0191828708761197,0.0077343237928774,0.0,0.0038016167795499,0.0922438278348263,0.0034957395674022,0.0190517806423421,4,4
Msc. Lillian Moore,1.0,4.0,3836.0,40.0,21.0,232.0,301.0,477.0,1262.0,696.0,467.0,434.0,428.0,188.0,0.5893278251634426,2019.0,38.73230749038213,-9.21469076819808,50.0,1,1.0,8173.0,43.473404255319146,1,0.4693502997675272,0.004894163709776,0.0283861495167013,0.036828581916065,0.0583629022390798,0.1544108650434357,0.085158448550104,0.0571393613116358,0.0531016762510705,0.0523675516946041,2,2
Phd. Kayla Blankenship,2.0,2.0,9339.0,300.0,6.0,88.0,244.0,1033.0,507.0,467.0,316.0,137.0,370.0,87.0,0.8021778732399719,2016.0,38.7480290416654,-9.15656587813829,32.0,1,2.0,12801.0,147.13793103448276,1,0.7295523787204125,0.0234356690883524,0.0068744629325833,0.0190610108585266,0.0806968205608936,0.0396062807593156,0.0364815248808686,0.0246855714397312,0.0107022888836809,0.0289039918756347,0,0
Phd. Archie Mickel,1.0,3.0,29112.0,5704.0,8.0,1508.0,963.0,1549.0,1341.0,,887.0,606.0,64.0,329.0,0.1829629326719151,2025.0,38.7496666360259,-9.14014091211847,28.0,0,8.0,41734.0,126.85106382978724,1,0.6975607418411847,0.1366751329850961,0.0361336080893276,0.0230747112665931,0.0371160205108544,0.0321320745674989,0.0,0.0212536540949825,0.0145205348157377,0.0015335218287247,0,0
Phd. Doloris Atwell,1.0,5.0,33106.0,2893.0,14.0,514.0,790.0,452.0,794.0,1271.0,825.0,307.0,410.0,128.0,0.0941141673878209,2018.0,38.80364972655259,-9.057216682624029,66.0,1,1.0,41362.0,323.140625,1,0.8003964992021663,0.0699434263333494,0.0124268652386248,0.0190996566897151,0.0109279048401914,0.0191963638121947,0.0307286881678835,0.0199458440114114,0.007422271650307,0.0099124800541559,0,0
Felipe Belliveau,1.0,1.0,10551.0,19339.0,20.0,39.0,487.0,1363.0,697.0,433.0,540.0,1835.0,5.0,37.0,0.2335421656467491,2016.0,38.76338275574757,-9.175977632749976,49.0,0,1.0,35289.0,953.7567567567568,1,0.2989883533112301,0.5480177959137408,0.0011051602482359,0.0138003343818186,0.0386239338037348,0.0197511972569355,0.0122701124996457,0.0153022188217291,0.0519992065516166,0.0001416872113123,1,1
Msc. Salvatore Blackmon,1.0,4.0,10375.0,454.0,11.0,95.0,94.0,170.0,486.0,734.0,39.0,,43.0,98.0,1.0,2014.0,38.716659620636335,-9.126962821404986,54.0,0,0.0,12490.0,127.44897959183672,1,0.8306645316253003,0.0363490792634107,0.0076060848678943,0.0075260208166533,0.0136108887109687,0.0389111289031225,0.0587670136108887,0.0031224979983987,0.0,0.0034427542033626,0,0
Jody Marrs,2.0,2.0,14037.0,9387.0,22.0,90.0,601.0,1342.0,718.0,967.0,247.0,,328.0,109.0,0.3376005577176389,2014.0,38.744460255877705,-9.1663286590939,51.0,1,0.0,27717.0,254.2844036697248,1,0.5064400909189306,0.3386730165602338,0.003247104665007,0.0216834433741025,0.0484179384493271,0.0259046794386116,0.0348883356784644,0.0089114983584081,0.0,0.0118338925569145,0,0
Phd. George Moland,1.0,1.0,31548.0,4885.0,11.0,979.0,1084.0,307.0,1808.0,901.0,642.0,,456.0,166.0,0.0503315349347742,2012.0,38.76299838765157,-9.170646844713852,46.0,0,5.0,42610.0,256.68674698795184,1,0.7403895799108191,0.1146444496597043,0.0229758272705937,0.0254400375498709,0.0072048814832199,0.0424313541422201,0.0211452710631307,0.0150668857075803,0.0,0.0107017132128608,0,0
Bsc. Renee Green,2.0,1.0,7706.0,1395.0,11.0,312.0,114.0,649.0,561.0,631.0,13.0,116.0,53.0,109.0,0.2457068193430098,2017.0,38.7474890696561,-9.155944958147968,35.0,1,2.0,11550.0,105.96330275229356,1,0.6671861471861472,0.1207792207792207,0.027012987012987,0.0098701298701298,0.0561904761904761,0.0485714285714285,0.0546320346320346,0.0011255411255411,0.01004329004329,0.0045887445887445,0,0
Msc. Suzanne Jackson,2.0,1.0,8856.0,862.0,6.0,144.0,46.0,662.0,589.0,343.0,500.0,168.0,81.0,39.0,1.0,2017.0,38.74771972687876,-9.155806753882551,28.0,1,5.0,12251.0,314.12820512820514,1,0.7228797649171497,0.070361603134438,0.011754142518978,0.0037547955268957,0.0540364051914129,0.0480777079422088,0.0279977144722879,0.0408129948575626,0.013713166272141,0.0066117051669251,0,0
Phd. Norman Kellar,2.0,3.0,11036.0,446.0,23.0,450.0,95.0,148.0,461.0,361.0,688.0,284.0,475.0,18.0,0.4584183117437898,2014.0,38.74384410672418,-9.152002161264976,31.0,0,1.0,14444.0,802.4444444444445,1,0.7640542785931875,0.0308778731653281,0.0311548047632234,0.0065771254500138,0.0102464691221268,0.0319163666574356,0.0249930767100526,0.047632234837995,0.0196621434505677,0.0328856272500692,0,0
Phd. Stella Vanlandingham,1.0,1.0,21035.0,4355.0,13.0,710.0,273.0,625.0,1557.0,830.0,594.0,450.0,624.0,45.0,0.1970857982962765,2008.0,38.77163386244289,-9.120604122622966,80.0,1,6.0,31053.0,690.0666666666667,1,0.6773902682510546,0.1402440987988278,0.0228641355102566,0.0087914211187324,0.020126879850578,0.05014008308376,0.0267284964415676,0.0191285866099893,0.0144913534924161,0.0200946768428171,0,0
Phd. Mildred Jones,1.0,3.0,5241.0,2848.0,13.0,2514.0,580.0,250.0,46.0,281.0,1037.0,290.0,252.0,59.0,0.1318202582444303,2014.0,38.77968386918864,-9.19466434077501,32.0,1,2.0,13339.0,226.08474576271183,1,0.39290801409401,0.2135092585651098,0.1884699002923757,0.0434815203538496,0.01874203463528,0.0034485343728915,0.0210660469300547,0.0777419596671414,0.0217407601769248,0.0188919709123622,4,4
Msc. Renee Crowe,,1.0,9973.0,3875.0,9.0,1206.0,857.0,1261.0,1486.0,1205.0,620.0,313.0,193.0,361.0,0.1108472703578988,2005.0,38.77651127402721,-9.190814820328804,70.0,1,4.0,20989.0,58.14127423822715,1,0.4751536519129067,0.1846205155081233,0.0574586688265281,0.0408309114297965,0.0600790890466434,0.0707989899471151,0.057411024822526,0.0295392824812997,0.0149125732526561,0.0091952927724045,0,0
Phd. Tony Cummings,0.0,4.0,8375.0,3406.0,11.0,1572.0,305.0,438.0,83.0,67.0,748.0,151.0,32.0,41.0,0.1321238480605895,2011.0,38.77927405559048,-9.166152028406405,52.0,0,1.0,15177.0,370.1707317073171,1,0.5518218356723991,0.2244185280358437,0.1035777821703894,0.0200961981946366,0.0288594583909863,0.0054688014759175,0.0044145746853791,0.0492851024576662,0.0099492653357053,0.0021084535810766,3,3
Bsc. Homer Rodriguez,1.0,2.0,13355.0,673.0,9.0,547.0,79.0,194.0,748.0,,106.0,179.0,16.0,62.0,0.5990170831946777,2017.0,38.72848388735738,-9.181805417133749,57.0,0,1.0,15897.0,256.4032258064516,1,0.8400956155249418,0.042335031767,0.0344090079889287,0.0049694910989494,0.012203560420205,0.047052903063471,0.0,0.006667924765679,0.0112599861609108,0.0010064792099138,0,0
Bsc. Dina Kellum,1.0,7.0,12155.0,2559.0,10.0,2093.0,621.0,410.0,45.0,79.0,607.0,156.0,171.0,127.0,0.0586036965773658,2010.0,38.71790765402376,-9.18996276218488,66.0,1,2.0,18896.0,148.78740157480314,1,0.64325783234547,0.1354254868755292,0.1107641828958509,0.0328640982218458,0.0216977138018628,0.0023814563928873,0.0041807790008467,0.032123200677392,0.0082557154953429,0.009049534292972,3,3
Msc. Raymond Stpeter,1.0,5.0,16752.0,466.0,13.0,1738.0,849.0,17.0,37.0,65.0,2618.0,228.0,397.0,120.0,0.1964968506860476,2015.0,38.75416736257537,-9.146026082165973,46.0,0,3.0,23167.0,193.0583333333333,1,0.7230975093883542,0.0201148184918202,0.0750205033021107,0.0366469547200759,0.0007338023913324,0.0015970993223119,0.002805715025683,0.1130055682652048,0.0098415850131652,0.0171364440799412,4,4
Erik Murray,1.0,2.0,7863.0,2525.0,21.0,26.0,622.0,1016.0,648.0,497.0,402.0,2956.0,311.0,193.0,0.276803492086756,2013.0,38.7634352074024,-9.150999564138113,80.0,0,0.0,16866.0,87.38860103626943,1,0.4662041977943792,0.1497094746827937,0.0015415629076248,0.0368789280208703,0.0602395351594924,0.0384204909284952,0.0294675678880588,0.023834934187122,0.1752638444207281,0.0184394640104351,1,1
Bsc. Sylvia Giles,3.0,4.0,9961.0,1725.0,16.0,1770.0,692.0,448.0,43.0,127.0,683.0,130.0,255.0,189.0,0.0597959273288908,2011.0,38.73829055773158,-9.159192307369766,50.0,1,3.0,15834.0,83.77777777777777,1,0.6290893015030946,0.1089427813565744,0.1117847669571807,0.0437034230137678,0.0282935455349248,0.0027156751294682,0.0080207149172666,0.0431350258936465,0.0082101806239737,0.0161045850701023,3,3
Phd. Danial Schmitz,1.0,4.0,5836.0,211.0,10.0,1318.0,356.0,322.0,106.0,86.0,2127.0,299.0,627.0,34.0,0.2278466768695096,2016.0,38.78844147513438,-9.104188173971986,65.0,0,2.0,11288.0,332.0,1,0.5170092133238837,0.0186924167257264,0.1167611622962438,0.0315379163713678,0.0285258681785967,0.0093905031892274,0.0076187101346562,0.1884301913536498,0.0264883061658398,0.0555457122608079,4,4
Doris Cedillo,0.0,2.0,4804.0,10741.0,18.0,161.0,349.0,1238.0,622.0,1441.0,151.0,1612.0,365.0,18.0,0.3454144786395181,2021.0,38.73800927193912,-9.153900715709058,70.0,1,1.0,21484.0,1193.5555555555557,1,0.2236082666170173,0.4999534537330106,0.0074939489852913,0.0162446471792962,0.0576242785328616,0.0289517780673989,0.0670731707317073,0.0070284863153975,0.0750325823868925,0.0169893874511264,1,1
Msc. Jeannette Ganser,1.0,4.0,13382.0,1799.0,10.0,1910.0,547.0,162.0,106.0,25.0,1907.0,61.0,359.0,81.0,0.13208322630811,2016.0,38.73444316402863,-9.18110165931389,55.0,1,1.0,20258.0,250.0987654320988,1,0.6605785368743212,0.0888044229440221,0.0942837397571329,0.0270016783492941,0.0079968407542699,0.0052325007404482,0.0012340803633132,0.0941356501135353,0.0030111560864843,0.0177213940171784,4,4
Carol Hendrix,0.0,2.0,9583.0,11967.0,8.0,135.0,342.0,1438.0,995.0,124.0,43.0,1178.0,292.0,165.0,0.2191056596387716,2017.0,38.76662652137475,-9.149499807448898,51.0,1,0.0,26097.0,158.16363636363636,1,0.3672069586542514,0.458558454994827,0.0051730083917691,0.0131049545924818,0.0551021190175115,0.0381269877763727,0.0047515040042916,0.0016476989692301,0.0451392880407709,0.0111890255584933,1,1
